Product_Name,Pricing,Rating
Apple iPhone 7 (Black| 32 GB),₹24999,4.5
Apple iPhone XS (Gold| 64 GB),₹59900,4.6
Apple iPhone 7 (Rose Gold| 32 GB),₹24999,4.5
Apple iPhone 7 (Gold| 32 GB),₹24999,4.5
Apple iPhone 8 (Gold| 64 GB),₹33999,4.5
Apple iPhone 8 (Space Grey| 64 GB),₹33999,4.5
Apple iPhone 8 (Silver| 64 GB),₹33999,4.5
Apple iPhone 11 (Black| 128 GB),₹69900,4.7
Apple iPhone XR (Black| 64 GB),₹49900,4.6
Apple iPhone 11 (White| 128 GB),₹69900,4.7
Apple iPhone 11 (White| 64 GB),₹64900,4.7
Apple iPhone 6s (Space Grey| 32 GB),₹23999,4.5
Apple iPhone 11 (Black| 64 GB),₹64900,4.7
Apple iPhone XR (White| 64 GB),₹49900,4.6
Apple iPhone 11 (Purple| 64 GB),₹64900,4.7
Apple iPhone XR ((PRODUCT)RED| 64 GB),₹49900,4.6
Apple iPhone XR (Black| 128 GB),₹54900,4.6
Apple iPhone XR (White| 128 GB),₹54900,4.6
Apple iPhone 11 (Red| 64 GB),₹64900,4.7
Apple iPhone 6s (Silver| 32 GB),₹24499,4.5
Apple iPhone XR (Coral| 64 GB),₹49900,4.6
Apple iPhone 11 (Red| 128 GB),₹69900,4.7
Apple iPhone 6s (Rose Gold| 32 GB),₹24499,4.5
Apple iPhone XR (Blue| 64 GB),₹49900,4.6
Apple iPhone 11 Pro (Midnight Green| 64 GB),₹99900,4.7
Apple iPhone 11 Pro Max (Midnight Green| 256 GB),₹123900,4.7
Apple iPhone 11 Pro (Midnight Green| 256 GB),₹113900,4.7
Apple iPhone 7 (Rose Gold| 256 GB),₹44990,4.5
Apple iPhone 11 Pro (Gold| 64 GB),₹99900,4.7
Apple iPhone 11 Pro Max (Space Grey| 64 GB),₹109900,4.7
Apple iPhone XS Max (Space Grey| 64 GB),₹74999,4.6
Apple iPhone XR ((PRODUCT)RED| 128 GB),₹57750,4.6
Apple iPhone 8 Plus (Silver| 64 GB),₹54900,4.6
Apple iPhone 6 (Gold| 32 GB),₹24899,4.4
Apple iPhone 11 Pro Max (Gold| 64 GB),₹109900,4.7
Apple iPhone XS Max (Gold| 256 GB),₹89999,4.6
Apple iPhone 11 Pro (Space Grey| 256 GB),₹113900,4.7
Apple iPhone 8 Plus (Space Grey| 64 GB),₹54499,4.6
Apple iPhone 8 (Silver| 256 GB),₹54900,4.5
Apple iPhone XS Max (Space Grey| 256 GB),₹89999,4.6
